table_key,table_name,file_name,file_exists,read_success,encoding_used,row_count,column_count,is_empty,allowed_empty,error_message
video_detail,raw_video_detail,raw_video_detail_real_raw_5000.csv,True,True,utf-8-sig,5000,30,False,False,
author,raw_author,raw_author_real_raw_5000.csv,True,True,utf-8-sig,3558,20,False,False,
music,raw_music,raw_music_real_raw_5000.csv,True,True,utf-8-sig,5000,16,False,False,
hashtag,raw_hashtag,raw_hashtag_real_raw_5000.csv,True,True,utf-8-sig,10097,10,False,False,
video_tag,raw_video_tag,raw_video_tag_real_raw_5000.csv,True,True,N/A (empty),0,0,True,True,
video_media,raw_video_media,raw_video_media_real_raw_5000.csv,True,True,utf-8-sig,5000,24,False,False,
video_status_control,raw_video_status_control,raw_video_status_control_real_raw_5000.csv,True,True,utf-8-sig,5000,17,False,False,
chapter,raw_chapter,raw_chapter_real_raw_5000.csv,True,True,N/A (empty),0,0,True,True,
comment,raw_comment,raw_comment_real_raw_5000.csv,True,True,utf-8-sig,9334,24,False,False,
related_video,raw_related_video,raw_related_video_real_raw_5000.csv,True,True,utf-8-sig,22657,22,False,False,
crawl_log,raw_crawl_log,raw_crawl_log_real_raw_5000.csv,True,True,utf-8-sig,5000,14,False,False,
