field_name,source_table,example_1,example_2,example_3
desc,raw_video_detail,榜单按照加入粉丝团、新增粉丝、送礼等互动行为综合排序，榜单值越高排名越靠前。,,
desc,raw_video_detail,,榜单按照加入粉丝团、新增粉丝、送礼等互动行为综合排序，榜单值越高排名越靠前。,
desc,raw_video_detail,,,榜单按照加入粉丝团、新增粉丝、送礼等互动行为综合排序，榜单值越高排名越靠前。
caption,raw_video_detail,"1. 什么是大模型幻觉？
2. 为什么大模型会有幻觉？

#大模型 #幻觉",,
caption,raw_video_detail,,"视频使用素材来自：
3blue1brown
Artem Kirsanov

使用manim引擎制作#人工智能 #2024诺贝尔奖 #知识前沿派对 #科学高光故事",
caption,raw_video_detail,,,本课程是教育部-微软产学合作协同育人项目成果，课程面向大学生和社会公众，结合社会热点和算法实践项目，介绍人工智能技术的基本概念、发展历史、经典算法、应用领域和对
hashtag_name,raw_hashtag,抖音精选公开课,,
hashtag_name,raw_hashtag,,暑期自修室,
hashtag_name,raw_hashtag,,,人工智能
music_title,raw_music,@剧不言创作的原声,,
music_title,raw_music,,@魔力讲创作的原声,
music_title,raw_music,,,DEJA VU
music_author,raw_music,剧不言,,
music_author,raw_music,,魔力讲,
music_author,raw_music,,,虫哥说电影
signature,raw_author,"总有一种力量感动你
已加入抖音原创者联盟
合作vx➕gumai696（注明来意）",,
signature,raw_author,,南京二手旧货市场，回收及出售酒店、饭店、小吃店、火锅店饮料蛋糕店等各种二手设备，厨房设备，桌椅设备，音箱功放设备，餐具设备，各种各样二手设备回收出售，一站式采购,
signature,raw_author,,,开心锤锤，专注原创快乐正能量动画视频！
